Deformation[in],Force[kip]
-0.033994334,1.227259466
0.04036827225000002,23.142954408196413
0.11473087850000004,45.05864935039283
0.18909348475000004,66.97434429258925
0.26345609100000006,83.85127958431757
0.3378186972500001,90.74067324586301
0.4121813035000001,94.39086430360413
0.48654390975000006,95.99371313155787
0.5609065160000001,97.1729739463433
0.6352691222500002,98.03662014514563
0.7096317285000002,98.63448561881395
0.7839943347500002,99.23235109248229
0.8413597729999999,87.79987365033769
0.7669971667499998,65.5796385037249
0.6926345604999998,42.58420892073078
0.6182719542499998,19.090441291733082
0.543909348,1.355255852
0.469546741875,-16.90595413816284
0.39518413575,-32.896953495
0.320821529625,-48.14044472274193
0.24645892349999995,-56.916604709000005
0.172096317375,-63.560981834940755
0.09773371124999991,-68.64020571553816
0.023371105125000083,-70.91765775276907
-0.050991501,-73.19510979
-0.12516095763636365,-78.1819819695745
-0.19933041427272727,-83.00489850510783
-0.2734998709090909,-87.57756695266175
-0.34766932754545454,-89.88218229445378
-0.4218387841818182,-91.58994155781514
-0.49600824081818173,-93.27115935896401
-0.5701776974545455,-94.34192348628386
-0.6443471540909091,-95.41268761360371
-0.7185166107272729,-96.62073517608718
-0.7926860673636364,-97.9550835030436
-0.866855524,-99.28943183
-0.80311614725,-56.21053047974493
-0.7393767705,-45.44059932249999
-0.6756373937500001,-14.114189637565898
-0.611898017,-2.887447884
-0.5420207743333334,19.374860273872685
-0.47214353166666667,33.393044099318324
-0.402266289,44.77802977715947
-0.3323890463333333,56.07073059085825
-0.2625118036666666,66.84663542283269
-0.19263456099999993,70.95956504528516
-0.12275731833333328,75.04378378855554
-0.0528800756666665,79.00495590427778
0.016997167,82.96612802
0.09469850247619047,85.46856002979185
0.17239983795238095,87.9709920395837
0.25010117342857147,90.20016465018136
0.3278025089047619,92.24237029834393
0.4055038443809523,94.2845759465065
0.48320517985714284,95.34592412563686
0.5609065153333332,96.37563174279131
0.6386078508095238,97.62682329567569
0.7163091862857143,99.30084782305373
0.7940105217619047,100.97487235043178
0.8717118572380953,101.61338756315192
0.9494131927142856,102.18286880987343
1.0271145281904759,102.75235005659495
1.1048158636666665,103.32183130331647
1.1825171991428571,103.93910528521721
1.2602185346190475,104.89092844453675
1.337919870095238,105.84275160385629
1.4156212055714286,106.71477795985314
1.493322541047619,107.3828791513974
1.5710238765238094,108.05098034294167
1.648725212,99.27437343
1.5773371102,72.54759840372309
1.5059490084,47.747734241682146
1.4345609066,29.59238800927244
1.3631728048,11.437041929637903
1.291784703,0.856446406
1.2177970342352942,-23.213096768437364
1.1438093654705883,-33.06337086150153
1.0698216967058825,-42.28437001087313
0.9958340279411765,-51.19268599799134
0.9218463591764706,-59.09563861076389
0.8478586904117648,-63.289820822020815
0.7738710216470589,-67.36908528262492
0.6998833528823529,-70.50027822850778
0.6258956841176472,-73.63147117439064
0.5519080153529412,-76.65743418492693
0.47792034658823535,-78.92340325564138
0.40393267782352943,-81.17200103888032
0.3299450090588236,-83.11660126958012
0.25595734029411776,-85.06120150027992
0.18196967152941163,-86.42052289204814
0.10798200276470582,-87.77182676602408
0.033994334,-89.12313064
-0.04249291809090909,-91.23309459938709
-0.11898017018181818,-93.34305855877419
-0.1954674222727273,-94.84255739393254
-0.2719546743636364,-96.16763762629971
-0.3484419264545455,-97.49271785866688
-0.4249291785454546,-98.79288114920219
-0.5014164306363637,-100.00583514605803
-0.5779036827272728,-101.21878914291386
-0.6543909348181818,-102.4317431397697
-0.730878186909091,-103.36328222591084
-0.807365439,-104.25964445
-0.8838526910909091,-105.15600667408917
-0.9603399431818183,-106.0377118743203
-1.0368271952727273,-106.80216087772922
-1.1133144473636365,-107.56660988113815
-1.1898016994545455,-108.33105888454709
-1.2662889515454545,-109.16472162189605
-1.3427762036363637,-110.05375534722626
-1.4192634557272725,-110.94278907255645
-1.4957507078181822,-111.83182279788667
-1.572237959909091,-112.72085652321688
-1.648725212,-102.1204107
-1.57648725175,-68.21736784708284
-1.5042492914999999,-38.854746008345614
-1.43201133125,-18.683707698056764
-1.359773371,-0.395282957
-1.2823418318333333,16.11011595386504
